ID,Trial 1 Results,Trial 2 Results,Trial 3 Results,Trial 4 Results,Trial 6 Results,Trial 7 Results,Trial 8 Results,Trial 9 Results,Trial 10 Results,Mean Score,Min,Max
1,93.5484,94.6237,92.4731,92.4731,94.6237,98.9247,97.8495,100,100,96.06,92.47,100.00
2,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
3,100,96,100,96,98,96,96,100,100,98.00,96.00,100.00
4,98.913,98.913,100,100,98.913,100,100,98.913,100,99.52,98.91,100.00
5,93.8697,92.3372,89.272,95.0192,88.1226,68.9655,43.295,83.908,95.0192,83.31,43.30,95.02
6,97.0874,98.0583,75.7282,71.8447,71.8447,89.8058,87.8641,95.6311,68.4466,84.03,68.45,98.06
7,100,100,78.8732,100,100,100,100,100,100,97.65,78.87,100.00
8,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
9,83.3333,82.2222,83.8889,82.2222,80,77.2222,71.6667,81.1111,79.4444,80.12,71.67,83.89
10,100,98.7342,100,100,100,99.3671,100,100,100,99.79,98.73,100.00
11,70.4918,70.4918,71.0383,71.0383,96.1749,70.4918,71.0383,96.1749,85.7923,78.08,70.49,96.17
12,87.9433,84.3972,84.3972,89.3617,87.9433,97.1631,90.7801,91.4894,89.3617,89.20,84.40,97.16
13,97.4194,100,100,100,100,100,100,100,100,99.71,97.42,100.00
14,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
15,75,79.7297,36.4865,89.8649,77.027,68.2432,66.2162,87.1622,78.3784,73.12,36.49,89.86
16,99.2958,68.3099,99.2958,99.2958,99.2958,99.2958,99.2958,98.5915,99.2958,95.77,68.31,99.30
17,91.8367,91.8367,91.8367,91.8367,91.8367,89.7959,91.8367,91.8367,91.8367,91.61,89.80,91.84
18,93.4783,95.6522,93.4783,90.2174,93.4783,92.3913,91.3043,90.2174,94.5652,92.75,90.22,95.65
19,100,93.401,93.9086,99.4924,100,99.4924,100,95.9391,100,98.03,93.40,100.00
20,95.7219,97.861,98.3957,95.1872,92.5134,90.9091,90.9091,93.5829,93.5829,94.30,90.91,98.40
21,95.4082,94.3878,94.898,94.3878,87.7551,94.3878,95.4082,92.3469,94.898,93.76,87.76,95.41
22,78.6517,80.8989,79.7753,80.3371,83.1461,82.5843,80.3371,81.4607,79.7753,80.77,78.65,83.15
23,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
24,100,100,100,100,100,100,100,100,100,100.00,100.00,100.00
25,79.7619,96.4286,100,79.7619,100,80.9524,80.9524,100,100,90.87,79.76,100.00
26,87.0968,88.172,88.172,87.0968,94.6237,87.0968,88.172,91.3978,89.2473,89.01,87.10,94.62
27,100,100,100,100,100,100,100,98.5401,95.6204,99.35,95.62,100.00
28,96.1832,99.2366,94.6565,100,95.4198,97.7099,100,91.6031,98.4733,97.03,91.60,100.00
29,64.2857,63.0952,32.1429,62.5,63.6905,69.0476,58.3333,66.6667,65.4762,60.58,32.14,69.05
30,92.562,97.5207,78.5124,47.1074,97.5207,92.562,63.6364,80.1653,45.4545,77.23,45.45,97.52
31,69.7531,69.7531,69.7531,69.7531,79.6296,69.7531,69.7531,69.7531,69.7531,70.85,69.75,79.63
32,100,95.7576,100,80,98.1818,100,100,91.5152,100,96.16,80.00,100.00
33,97.1098,97.6879,100,97.6879,100,100,100,100,100,99.17,97.11,100.00
34,100,97.1098,98.8439,98.8439,98.8439,98.8439,98.8439,98.8439,100,98.91,97.11,100.00
35,100,94.5455,100,96.3636,100,97.2727,100,97.2727,97.2727,98.08,94.55,100.00
36,98.7421,99.3711,100,98.7421,100,100,100,99.3711,100,99.58,98.74,100.00
37,98.3193,97.479,100,100,69.7479,99.1597,99.1597,97.479,98.3193,95.52,69.75,100.00
38,70.7317,83.5366,96.3415,70.7317,70.7317,96.3415,70.7317,70.7317,70.7317,77.85,70.73,96.34
39,99.3421,82.2368,97.3684,98.6842,98.0263,98.6842,98.0263,96.7105,82.8947,94.66,82.24,99.34
40,100,100,93.5644,100,100,100,100,100,100,99.28,93.56,100.00
